data_model,labels,ml_algo,accuracy,f1,hamming
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",KNeighborsClassifier,0.10526315789473684,0.14285714285714288,0.07017543859649122
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']","LogisticRegression(random_state=42, solver='liblinear')",0.0,0.0,0.06432748538011696
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",SVC(random_state=42),0.0,0.0,0.06578947368421052
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",RandomForestClassifier(random_state=42),0.21052631578947367,0.1935483870967742,0.10964912280701754
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",SGDClassifier(random_state=42),0.0,0.0,0.06432748538011696
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",GradientBoostingClassifier(random_state=42),0.10526315789473684,0.125,0.1023391812865497
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",KNeighborsClassifier,0.023255813953488372,0.0625,0.05167958656330749
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']","LogisticRegression(random_state=42, solver='liblinear')",0.0,0.0,0.04478897502153316
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",SVC(random_state=42),0.0,0.0,0.04478897502153316
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",RandomForestClassifier(random_state=42),0.18604651162790697,0.22222222222222224,0.07235142118863049
