data_model,labels,ml_algo,accuracy,f1,hamming
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",KNeighborsClassifier,0.10526315789473684,0.13333333333333333,0.07602339181286549
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']","LogisticRegression(random_state=42, solver='liblinear')",0.02631578947368421,0.04347826086956522,0.06432748538011696
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",SVC(random_state=42),0.02631578947368421,0.04255319148936171,0.06578947368421052
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",RandomForestClassifier(random_state=42),0.07894736842105263,0.11111111111111109,0.07017543859649122
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",SGDClassifier(random_state=42),0.15789473684210525,0.1818181818181818,0.07894736842105263
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",GradientBoostingClassifier(random_state=42),0.0,0.17857142857142858,0.06725146198830409
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",KNeighborsClassifier,0.13636363636363635,0.24242424242424246,0.04208754208754209
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']","LogisticRegression(random_state=42, solver='liblinear')",0.0,0.0,0.04377104377104377
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",SVC(random_state=42),0.045454545454545456,0.07407407407407407,0.04208754208754209
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",RandomForestClassifier(random_state=42),0.045454545454545456,0.07407407407407407,0.04208754208754209
