Unnamed: 0,Réponse (French),Answer (English),Déterminant,Contenu
0," Moi ça me fait penser à un papillon de nuit avec les mandibules. On dirait un mélange de pleins d’insectes. Il y a les mandibules, 3 ailes, un dard et des yeux de grenouille."," It reminds me of a moth with mandibles. It looks like a mixture of lots of insects. There are mandibles, 3 wings, a stinger and frog eyes.",FC'+,(A)
1,"Une personne de chaque côté (forcément, c’est symétrique). Il est fléchi avec sa tête, ses pieds, ses bras","One person on each side (obviously, it’s symmetrical). He is bent with his head, his feet, his arms",K+,H
2,Une casserole sur une gazinière de… de camping. La gazinière et une grosse casserole,A saucepan on a…camping gas stove. The gas stove and a large saucepan,FE-,Obj
5,Ah deux lapins qui se tapent la main avec les oreilles et les pattes euh…,Ah two rabbits hitting each other's hands with their ears and paws uh...,kan,A
6,"Et… Une personne avec des grosses lèvres, ses yeux, ses sourcils. Ils ne sont pas…","And... A person with big lips, his eyes, his eyebrows. They are not…",EF,Hd
7,"Et aussi comme une sorte de visage avec le nez, les yeux ici (pointe) et pas de bouche","And also like a kind of face with the nose, the eyes here (point) and no mouth",F-,Hd
8,Ah et ça : ça me ferait penser à un papillon,Oh and this: it would remind me of a butterfly,F+,A
10,"Une tête de taureau élargie, avec les narines, les yeux, les cornes ici","An enlarged bull's head, with nostrils, eyes, horns here",F-,Ad
11,"Je vois aussi une femme qui danse, sa jambe gauche ou droite en fait et ici l’autre jambe, pliée et ses bras sont mis au-dessus de sa tête comme ça.","I also see a woman dancing, her left or right leg actually and here the other leg, bent and her arms are put above her head like that.",K+,H
12,Un poisson ici,A fish here,F-,A
13,Ici un hippocampe,Here a seahorse,F-,A
14,"Comme un oiseau, ça pourrait être un corbeau, ici avec son socle","Like a bird, it could be a crow, here with its base",kanC'-,A/Obj
15,"Je vois des animaux partout moi !
Je vois des têtes d’animaux avec un bec
","I see animals everywhere!
I see animal heads with beaks
",F-,Ad 
16,Un chien avec sa langue,A dog with its tongue,F+,A
17,"Ici, je vois une crevette",Here I see a shrimp,F-,A
18,Ici je vois des chaussures dans le blanc,Here I see shoes in the white,F+,Vet 
19,"Dans le sombre, comme une route qui part loin avec un coucher de soleil derrière","In the dark, like a road that goes far away with a sunset behind",FE-,Pays
20,Une chauve-souris de haut avec ses pattes,A tall bat with its legs,FC',A
21,"Dans le blanc, quelqu’un assis, avachi, qui tient un téléphone ou une télécommande","In the white, someone sitting, slumped, holding a phone or remote control",K-,H/Obj
22,Une pince ici,A clamp here,F+,Obj
23,Une clochette dans le blanc,A bell in the white,F-,Obj
25,"Une lune, une demi-lune","A moon, a half moon",FE-,Frag
26,Je vois des narines,I see nostrils,F-,Hd
27,"Et ici un enfant assis euh un enfant assis. Celle-ci j’ai eu du mal à trouver des trucs dedans
","And here a child sitting uh a child sitting. This one I had a hard time finding stuff in.
",K,Henf
30,"Merci, Je vois un chien ou un chat dans le blanc","Thank you, I see a dog or a cat in the white",F-,A
31,Une créature énervée avec un corne tordue ,An angry creature with a twisted horn,FClob,(A)
32,"Je vois des escaliers. Une fois qu’on voit quelque chose, on n’arrive plus à plus la voir *Arrêt après un long silence*
","I see stairs. Once we see something, we can no longer see it *Stop after a long silence*
",F-,Obj
35,"Là, une panthère avec une patte décalée","There, a panther with a staggered paw",kanC,A
36,Des mains *prend de la distance avec la planche et revient*,Hands *takes distance from the board and comes back*,F-,Hd
37,Des cuisses de poulet,Chicken thighs,FC-,Alim
40,Je vois une boule de glace,I see a ball of ice cream,CF,Alim
41,Des griffes aussi,Claws too,F-,Ad
42,"Autre chose que je vois, je me souviens plus, quelque chose dans la mer. C’est pas du corail, je sais pas ce que c’est","Something else I see, I don't remember, something in the sea. It's not coral, I don't know what it is",FC,A
44,Une créature,A creature,F+/-,(A)
45,Une pince,A pliers,F-,Obj
46,Une créature en jaune,A creature in yellow,F+/-,(A)
47,Je vois deux hommes euh qui se soutiennent à une falaise,I see two men uh supporting each other on a cliff,K,H/Pays
48,Et je vois un poisson,And I see a fish,F-,A
49,"Ok,des ailes d'ange avec des mains et le coté ""ahhh"".","Ok, angel wings with hands and the “ahhh” side.",F+,(Hd)
50,Et là plus genre un loup avec les yeux et le pelage autour.,And there more like a wolf with eyes and fur around it.,FCE+,Ad
51,"Aller ca peut etre drole effectivement,un chapeau qui remonte sur les cotés,un peu russe,voilà","Come on, it can actually be funny, a hat that goes up the sides, a little Russian, that's it",F+,Vet
52,"C'est bizarre,si on peut terminer là-dessus,l'ange là,le fait qu'il y ait une double bosse ic(montre),ca m'a fait un peu bizarre car ca fait le coté avec les mains comme ca(imite l'ange),c'est une espèce d'ange à deux etes tu vois,on voit bien,juste deux tetes c'est bizarre.","It's weird, if we can end on that, the angel there, the fact that there is a double hump here (watch), it made me a little strange because it makes the side with the hands like that (imitates the angel), it's a kind of angel with two heads you see, we can see clearly, just two heads is weird.",K-,(H)
53,"Il y a un truc qui me perturbe,ce n'est pas symétrique,il y a des taches la(montre) que tu ne vois pas là,ca me perturbe,ce n'est pas symétrique","There is something that bothers me, it's not symmetrical, there are spots on the (watch) that you don't see there, it bothers me, it's not symmetrical",C-,Frag
54,"Premier truc auquel ça me
 fait penser, et c’est marrant parce
 que c’est pas du tout la forme là,
 mais là, ce creux là, ce vide-là, ça
 me fait penser à quand tu fais un
 bisou avec du rouge à lèvre sur un
 truc et que du coup il reste le trou
 du… du truc… Le rouge ça me
 gêne grave","First thing that happened to me
 makes you think, and it's funny because
 that this is not the form at all,
 but there, this hollow there, this void there, this
 reminds me of when you make a
 kiss with lipstick on a
 thing and suddenly the hole remains
 something… something… Red is what I like
 serious discomfort",CF-,Frag
55,"Ça du coup (montre le bas
 de l’image), et c’est un peu gênant
 du coup (rires), mais ça, ça me fait
 penser à des hanches, et ça, le côté
 symétrique ça me fait penser à un
 vagin, mais c’est super flippant du
 coup, (longue pause) gênant plus
 que flippant mais bon…","So (points to the bottom)
 of the image), and it's a bit annoying
 so (laughs), but that makes me
 think about hips, and that, the side
 symmetrical it reminds me of a
 vagina, but it's super creepy
 suddenly, (long pause) annoying more
 that creepy but hey…",FCClob-,Hd/Sex
56,"Et ensuite, c’est beaucoup
 plus drôle comme ça, ça me fait
 penser à un dromadaire, non
 chameau car deux bosses, avec la
 tête ici (montre) il n’a pas les
 jambes pas la queue mais il a la
 tête ici et une, deux bosses
 (montre), ça occulte un peu le truc
 car c’est pris de manière
 dissymétrique.","And then, it's a lot
 funnier like that, it makes me
 think of a camel, no
 camel because two humps, with the
 head here (shows) he doesn't have the
 legs not the tail but he has the
 head here and one, two bumps
 (shows), it obscures the thing a little
 because it is taken in such a way
 asymmetrical.",F-,A
