Réponse (French),Answer (English),Contenu,(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,ART,BOT,ELEM,FRAG,GÉO,H,HD,MQ,NAT,OBJ,PAYS,RADIO,SC,SCÈNE,SEX,SG,VÊT,color_sum,threat_sum,fading_sum,form_sum,kinesthetics_sum
" Moi ça me fait penser à un papillon de nuit avec les mandibules. On dirait un mélange de pleins d’insectes. Il y a les mandibules, 3 ailes, un dard et des yeux de grenouille."," It reminds me of a moth with mandibles. It looks like a mixture of lots of insects. There are mandibles, 3 wings, a stinger and frog eyes.",(A),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Une personne de chaque côté (forcément, c’est symétrique). Il est fléchi avec sa tête, ses pieds, ses bras","One person on each side (obviously, it’s symmetrical). He is bent with his head, his feet, his arms",H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Une casserole sur une gazinière de… de camping. La gazinière et une grosse casserole,A saucepan on a…camping gas stove. The gas stove and a large saucepan,Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Ah deux lapins qui se tapent la main avec les oreilles et les pattes euh…,Ah two rabbits hitting each other's hands with their ears and paws uh...,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Et… Une personne avec des grosses lèvres, ses yeux, ses sourcils. Ils ne sont pas…","And... A person with big lips, his eyes, his eyebrows. They are not…",Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Et aussi comme une sorte de visage avec le nez, les yeux ici (pointe) et pas de bouche","And also like a kind of face with the nose, the eyes here (point) and no mouth",Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ah et ça : ça me ferait penser à un papillon,Oh and this: it would remind me of a butterfly,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Une tête de taureau élargie, avec les narines, les yeux, les cornes ici","An enlarged bull's head, with nostrils, eyes, horns here",Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Je vois aussi une femme qui danse, sa jambe gauche ou droite en fait et ici l’autre jambe, pliée et ses bras sont mis au-dessus de sa tête comme ça.","I also see a woman dancing, her left or right leg actually and here the other leg, bent and her arms are put above her head like that.",H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Un poisson ici,A fish here,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ici un hippocampe,Here a seahorse,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Comme un oiseau, ça pourrait être un corbeau, ici avec son socle","Like a bird, it could be a crow, here with its base",A/Obj,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"Je vois des animaux partout moi !
Je vois des têtes d’animaux avec un bec
","I see animals everywhere!
I see animal heads with beaks
",Ad ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Un chien avec sa langue,A dog with its tongue,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ici, je vois une crevette",Here I see a shrimp,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ici je vois des chaussures dans le blanc,Here I see shoes in the white,Vet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Dans le sombre, comme une route qui part loin avec un coucher de soleil derrière","In the dark, like a road that goes far away with a sunset behind",Pays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Une chauve-souris de haut avec ses pattes,A tall bat with its legs,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Dans le blanc, quelqu’un assis, avachi, qui tient un téléphone ou une télécommande","In the white, someone sitting, slumped, holding a phone or remote control",H/Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Une pince ici,A clamp here,Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Une clochette dans le blanc,A bell in the white,Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Une lune, une demi-lune","A moon, a half moon",Frag,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Je vois des narines,I see nostrils,Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Et ici un enfant assis euh un enfant assis. Celle-ci j’ai eu du mal à trouver des trucs dedans
","And here a child sitting uh a child sitting. This one I had a hard time finding stuff in.
",Henf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Merci, Je vois un chien ou un chat dans le blanc","Thank you, I see a dog or a cat in the white",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Une créature énervée avec un corne tordue ,An angry creature with a twisted horn,(A),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Je vois des escaliers. Une fois qu’on voit quelque chose, on n’arrive plus à plus la voir *Arrêt après un long silence*
","I see stairs. Once we see something, we can no longer see it *Stop after a long silence*
",Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Là, une panthère avec une patte décalée","There, a panther with a staggered paw",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Des mains *prend de la distance avec la planche et revient*,Hands *takes distance from the board and comes back*,Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Des cuisses de poulet,Chicken thighs,Alim,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Je vois une boule de glace,I see a ball of ice cream,Alim,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Des griffes aussi,Claws too,Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Autre chose que je vois, je me souviens plus, quelque chose dans la mer. C’est pas du corail, je sais pas ce que c’est","Something else I see, I don't remember, something in the sea. It's not coral, I don't know what it is",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Une créature,A creature,(A),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Une pince,A pliers,Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Une créature en jaune,A creature in yellow,(A),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Je vois deux hommes euh qui se soutiennent à une falaise,I see two men uh supporting each other on a cliff,H/Pays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Et je vois un poisson,And I see a fish,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ok,des ailes d'ange avec des mains et le coté ""ahhh"".","Ok, angel wings with hands and the “ahhh” side.",(Hd),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Et là plus genre un loup avec les yeux et le pelage autour.,And there more like a wolf with eyes and fur around it.,Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
