Réponse (French),(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,ART,BOT,ELEM,FRAG,GÉO,H,HD,MQ,NAT,OBJ,PAYS,RADIO,SC,SCÈNE,SEX,SG,VÊT
" Moi ça me fait penser à un papillon de nuit avec les mandibules. On dirait un mélange de pleins d’insectes. Il y a les mandibules, 3 ailes, un dard et des yeux de grenouille.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Une personne de chaque côté (forcément, c’est symétrique). Il est fléchi avec sa tête, ses pieds, ses bras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Une casserole sur une gazinière de… de camping. La gazinière et une grosse casserole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ah deux lapins qui se tapent la main avec les oreilles et les pattes euh…,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et… Une personne avec des grosses lèvres, ses yeux, ses sourcils. Ils ne sont pas…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Et aussi comme une sorte de visage avec le nez, les yeux ici (pointe) et pas de bouche",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ah et ça : ça me ferait penser à un papillon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Une tête de taureau élargie, avec les narines, les yeux, les cornes ici",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Je vois aussi une femme qui danse, sa jambe gauche ou droite en fait et ici l’autre jambe, pliée et ses bras sont mis au-dessus de sa tête comme ça.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Un poisson ici,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ici un hippocampe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comme un oiseau, ça pourrait être un corbeau, ici avec son socle",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Je vois des animaux partout moi !
Je vois des têtes d’animaux avec un bec
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un chien avec sa langue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ici, je vois une crevette",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ici je vois des chaussures dans le blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dans le sombre, comme une route qui part loin avec un coucher de soleil derrière",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
