Pl,Numéros réponse,Position,Réponse (French),Answer (English),Enquête (French),Inquiry (English),LOC,DET,CON,QUAL
I,1,^,"Ok,des ailes d'ange avec des mains et le coté ""ahhh"".","Ok, angel wings with hands and the “ahhh” side.",Dissymétrie perturbante Forme Lacunes remplies,Disturbing asymmetry Shape Filled gaps,G,F+,(Hd),"Symb →Critobj →Sym
 Ref phal"
,2,^,Et là plus genre un loup avec les yeux et le pelage autour.,And there more like a wolf with eyes and fur around it.,"""Un masque de loup. Mais un espèce de loup à quatre yeux avec deux yeux agressifs"" La couleur;Le tout Deux lacunes du haut remplies.","""A wolf mask. But a kind of four-eyed wolf with two aggressive eyes"" The color; The whole Two gaps at the top filled.",G,FCE+,Ad,"Yeux (→Ban)
 →Clob
 →Eqe"
,3,v,"Aller ca peut etre drole effectivement,un chapeau qui remonte sur les cotés,un peu russe,voilà","Come on, it can actually be funny, a hat that goes up the sides, a little Russian, that's it",Lacunes remplies.,Gaps filled.,G,F+,Vet,"Ref phal
 →Affect"
,4,^,"C'est bizarre,si on peut terminer là-dessus,l'ange là,le fait qu'il y ait une double bosse ic(montre),ca m'a fait un peu bizarre car ca fait le coté avec les mains comme ca(imite l'ange),c'est une espèce d'ange à deux etes tu vois,on voit bien,juste deux tetes c'est bizarre.","It's weird, if we can end on that, the angel there, the fact that there is a double hump here (watch), it made me a little strange because it makes the side with the hands like that (imitates the angel), it's a kind of angel with two heads you see, we can see clearly, just two heads is weird.","Le tout ""De dos"" Lacunes remplies","All ""From the back"" Gaps filled",G,K-,(H),"→Persp Anale
 →Affect"
,5,^,"Il y a un truc qui me perturbe,ce n'est pas symétrique,il y a des taches la(montre) que tu ne vois pas là,ca me perturbe,ce n'est pas symétrique","There is something that bothers me, it's not symmetrical, there are spots on the (watch) that you don't see there, it bothers me, it's not symmetrical",Le noir dans le noir de ce coté(gauche)n'est pas de ce coté(droite),The black in the black on this side (left) is not on this side (right),Dd,C-,Frag,"Crit obj
 Sym
 →E"
II,6,^,"Premier truc auquel ça me
 fait penser, et c’est marrant parce
 que c’est pas du tout la forme là,
 mais là, ce creux là, ce vide-là, ça
 me fait penser à quand tu fais un
 bisou avec du rouge à lèvre sur un
 truc et que du coup il reste le trou
 du… du truc… Le rouge ça me
 gêne grave","First thing that happened to me
 makes you think, and it's funny because
 that this is not the form at all,
 but there, this hollow there, this void there, this
 reminds me of when you make a
 kiss with lipstick on a
 thing and suddenly the hole remains
 something… something… Red is what I like
 serious discomfort","« La forme et la
 couleur car le rouge me
 fait penser au bisou et
 le fait de la forme me
 fait penser au bisou »
 La grande lacune
 centrale puis le tout","“The form and
 color because red to me
 reminds of kisses and
 the fact of the shape me
 reminds me of a kiss »
 The big gap
 central then all",DblG,CF-,Frag,"Choc R
 →E
 Confab"
,7,^,"Ça du coup (montre le bas
 de l’image), et c’est un peu gênant
 du coup (rires), mais ça, ça me fait
 penser à des hanches, et ça, le côté
 symétrique ça me fait penser à un
 vagin, mais c’est super flippant du
 coup, (longue pause) gênant plus
 que flippant mais bon…","So (points to the bottom)
 of the image), and it's a bit annoying
 so (laughs), but that makes me
 think about hips, and that, the side
 symmetrical it reminds me of a
 vagina, but it's super creepy
 suddenly, (long pause) annoying more
 that creepy but hey…","La forme et la couleur
 D10 moins Dd7des
 deux côtés","Shape and color
 D10 minus Dd7des
 two sides",Dd,FCClob-,Hd/Sex,"Affect
 Sym"
,8,<,"Et ensuite, c’est beaucoup
 plus drôle comme ça, ça me fait
 penser à un dromadaire, non
 chameau car deux bosses, avec la
 tête ici (montre) il n’a pas les
 jambes pas la queue mais il a la
 tête ici et une, deux bosses
 (montre), ça occulte un peu le truc
 car c’est pris de manière
 dissymétrique.","And then, it's a lot
 funnier like that, it makes me
 think of a camel, no
 camel because two humps, with the
 head here (shows) he doesn't have the
 legs not the tail but he has the
 head here and one, two bumps
 (shows), it obscures the thing a little
 because it is taken in such a way
 asymmetrical.","La forme
 D1 + D2
 La tête dans le rouge et
 le corps dans le noir","The form
 D1 + D2
 Head in the red and
 the body in the dark",Dd,F-,A,"Sym
 Critobj"
,9,v,"Ça me fait penser à un
 animal marin dont j’ai oublié le
 nom Comme je ne le vois pas comme
 un tout, le côté dissymétrique me
 choque moins. D’ailleurs, il y en a
 moins j’ai l’impression.","It reminds me of a
 marine animal whose name I forgot
 noun As I don't see it as
 a whole, the asymmetrical side me
 shocks less. Moreover, there are
 less I feel.","La forme
 D3 – rouge inférieur","The form
 D3 – lower red",D,F+/-,A,"→Autocrit
 →Choc R →Autocrit Sym
 →critobj"
III,10,^,"Ça, c’est un nœud
 papillon mais c’est assez classique","That's a knot
 butterfly but it’s quite classic","La forme et la couleur
 D3 – Rouge central","Shape and color
 D3 – Central Red",D,F+,Vet,Ban
