data_model,labels,ml_algo,accuracy,f1,hamming
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",KNeighborsClassifier,0.13157894736842105,0.17241379310344826,0.07017543859649122
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']","LogisticRegression(random_state=42, solver='sag')",0.0,0.0,0.06432748538011696
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",SVC,0.0,0.0,0.06432748538011696
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",RandomForestClassifier(random_state=42),0.15789473684210525,0.1263157894736842,0.12134502923976608
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",SGDClassifier(random_state=42),0.0,0.0,0.06432748538011696
determinants_individual,"['C', ""C'"", ""C'F"", 'CF', ""CF'"", 'CLOB', 'CLOBF', 'E', 'EF', 'F', 'FC', ""FC'"", 'FCLOB', 'FE', 'K', 'KAN', 'KOB', 'KP']",GradientBoostingClassifier(random_state=42),0.07894736842105263,0.07407407407407407,0.10964912280701754
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",KNeighborsClassifier,0.023809523809523808,0.0634920634920635,0.05202821869488536
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']","LogisticRegression(random_state=42, solver='sag')",0.0,0.0,0.04585537918871252
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",SVC,0.0,0.0,0.04585537918871252
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",RandomForestClassifier(random_state=42),0.19047619047619047,0.22429906542056074,0.07319223985890652
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",SGDClassifier(random_state=42),0.0,0.0,0.04585537918871252
contents_individual,"['(A)', '(AD)', '(H)', '(HD)', 'A', 'ABS', 'AD', 'ALIM', 'ANAT', 'ARCH', 'ART', 'BOT', 'ELEM', 'FRAG', 'GÉO', 'H', 'HD', 'MQ', 'NAT', 'OBJ', 'PAYS', 'RADIO', 'SC', 'SCÈNE', 'SEX', 'SG', 'VÊT']",GradientBoostingClassifier(random_state=42),0.11904761904761904,0.15053763440860216,0.06966490299823633
contents_macro,"['animal_sum', 'human_sum', 'abs_sum', 'food_sum', 'art_arch_sum', 'nature_sum', 'fragment_sum', 'geo_sum', 'object_sum', 'science_sum', 'graphic_sum']",KNeighborsClassifier,0.275,0.3291139240506329,0.12045454545454545
contents_macro,"['animal_sum', 'human_sum', 'abs_sum', 'food_sum', 'art_arch_sum', 'nature_sum', 'fragment_sum', 'geo_sum', 'object_sum', 'science_sum', 'graphic_sum']","LogisticRegression(random_state=42, solver='sag')",0.0,0.0,0.10681818181818181
contents_macro,"['animal_sum', 'human_sum', 'abs_sum', 'food_sum', 'art_arch_sum', 'nature_sum', 'fragment_sum', 'geo_sum', 'object_sum', 'science_sum', 'graphic_sum']",SVC,0.2,0.26865671641791045,0.11136363636363636
contents_macro,"['animal_sum', 'human_sum', 'abs_sum', 'food_sum', 'art_arch_sum', 'nature_sum', 'fragment_sum', 'geo_sum', 'object_sum', 'science_sum', 'graphic_sum']",RandomForestClassifier(random_state=42),0.225,0.3469387755102041,0.14545454545454545
contents_macro,"['animal_sum', 'human_sum', 'abs_sum', 'food_sum', 'art_arch_sum', 'nature_sum', 'fragment_sum', 'geo_sum', 'object_sum', 'science_sum', 'graphic_sum']",SGDClassifier(random_state=42),0.375,0.4137931034482758,0.1159090909090909
contents_macro,"['animal_sum', 'human_sum', 'abs_sum', 'food_sum', 'art_arch_sum', 'nature_sum', 'fragment_sum', 'geo_sum', 'object_sum', 'science_sum', 'graphic_sum']",GradientBoostingClassifier(random_state=42),0.225,0.3218390804597701,0.1340909090909091
determinants_macro,"['color_sum', 'threat_sum', 'fading_sum', 'form_sum', 'kinesthetics_sum']",KNeighborsClassifier,0.2564102564102564,0.35897435897435903,0.2564102564102564
determinants_macro,"['color_sum', 'threat_sum', 'fading_sum', 'form_sum', 'kinesthetics_sum']","LogisticRegression(random_state=42, solver='sag')",0.0,0.0,0.24615384615384617
determinants_macro,"['color_sum', 'threat_sum', 'fading_sum', 'form_sum', 'kinesthetics_sum']",SVC,0.05128205128205128,0.07999999999999999,0.2358974358974359
determinants_macro,"['color_sum', 'threat_sum', 'fading_sum', 'form_sum', 'kinesthetics_sum']",RandomForestClassifier(random_state=42),0.3076923076923077,0.42424242424242425,0.2923076923076923
determinants_macro,"['color_sum', 'threat_sum', 'fading_sum', 'form_sum', 'kinesthetics_sum']",SGDClassifier(random_state=42),0.20512820512820512,0.3218390804597701,0.30256410256410254
determinants_macro,"['color_sum', 'threat_sum', 'fading_sum', 'form_sum', 'kinesthetics_sum']",GradientBoostingClassifier(random_state=42),0.1794871794871795,0.25316455696202533,0.30256410256410254
